SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
2021-01-28,FATİH,Yerli,28.97352,41.01751,1
2021-01-05,AVCILAR,Yerli,28.74381,40.97643,1
2019-04-05,SARIYER,Yerli,29.090822,41.243239,2
2021-02-18,PENDİK,Yerli,29.31137,40.93897,1
2021-07-15,FATİH,Yerli,28.959765,41.009561,4
2019-06-13,BAYRAMPAŞA,Yerli,28.912704,41.033193,1
2020-12-31,GAZİOSMANPAŞA,Yerli,28.91984,41.058,2
2021-06-06,BEYOĞLU,Yerli,28.977381,41.033458,13
2021-03-05,GAZİOSMANPAŞA,Yerli,28.89354,41.07914,1
2021-02-10,GÜNGÖREN,Yerli,28.86084,41.02917,2
2021-01-05,BEŞİKTAŞ,Yabancı,29.00768,41.04247,5
2021-04-23,BEŞİKTAŞ,Yerli,29.007671,41.059831,2
2021-02-28,ZEYTİNBURNU,Yerli,28.92922,41.02558,1
2021-06-17,KADIKÖY,Yerli,29.053326,40.967629,6
2020-12-29,ŞİŞLİ,Yerli,28.99246,41.06409,7
2018-12-27,BEYOĞLU,Yabancı,28.94027,41.04725,1
2021-03-04,BAHÇELİEVLER,Yerli,28.81876,41.01285,2
